,name,id,start_date,average_cadence
0,Prépa Trail 42km W2S2,16150214950,2025-10-15T14:59:57Z,81.6
1,Prépa Trail 42km W2S1,16137965500,2025-10-14T13:15:30Z,82.5
2,Afternoon Run,16126906432,2025-10-13T13:13:57Z,87.3
3,Prépa Trail 42km W1S4,16097780019,2025-10-10T15:45:59Z,85.4
4,Prépa Trail 42km W1S3,16087030269,2025-10-09T15:40:20Z,81.3
5,Prépa Trail 42km W1S2,16060227073,2025-10-07T07:51:20Z,79.8
6,Prepa Trail 42km W1S1,16052064576,2025-10-06T13:13:32Z,79.3
7,Afternoon Run,16042095186,2025-10-05T13:31:57Z,79.2
8,Morning Run,16017710458,2025-10-03T07:40:45Z,79.6
9,Afternoon Run,16009594434,2025-10-02T12:43:55Z,79.8
10,Prépa 23km trail,15984024772,2025-09-30T08:01:54Z,77.0
11,10km Rouen,15957244593,2025-09-27T19:12:00Z,81.3
12,Fin de carrière...,15683439604,2025-09-03T14:13:07Z,80.2
13,LETSSSSGOOOO,15645599213,2025-08-31T07:00:16Z,74.8
14,"J-6 Trail de Vernon, je suis trop hype",15580688900,2025-08-25T12:56:21Z,79.9
15,First trail ever,15558094920,2025-08-23T11:27:07Z,76.7
16,Afternoon Run,15547562025,2025-08-22T13:56:48Z,79.8
17,Entraînement 10km Rouen,15536836544,2025-08-21T14:28:49Z,81.7
18,Entraînement 10km Rouen,15525806695,2025-08-20T14:48:08Z,77.7
19,Entraînement 10km Rouen,15514449122,2025-08-19T15:03:42Z,77.3
20,Entraînement 10km Rouen,15503090113,2025-08-18T16:17:50Z,78.3
21,Entraînement 10km Rouen,15478552266,2025-08-16T12:32:43Z,73.5
22,Afternoon Run,15456578422,2025-08-14T13:16:55Z,80.5
23,Test max 1km,15445992238,2025-08-13T15:07:33Z,88.3
24,Afternoon Run,15445987298,2025-08-13T14:26:18Z,77.3
25,Entraînement 10km Rouen,15423166571,2025-08-11T16:03:54Z,78.4
26,Entraînement 10km Rouen,15397589034,2025-08-09T10:43:33Z,81.8
27,Entraînement 10km Rouen,15385912981,2025-08-08T09:33:09Z,79.0
28,Entraînement 10km Rouen,15374295773,2025-08-07T09:16:02Z,78.0
29,Entraînement 10km Rouen,15363073239,2025-08-06T10:06:15Z,78.3
30,Entraînement 10km Rouen,15342084372,2025-08-04T13:42:43Z,79.1
