,name,id,start_date,elev_low
0,Prépa Trail 42km W2S2,16150214950,2025-10-15T14:59:57Z,10.0
1,Prépa Trail 42km W2S1,16137965500,2025-10-14T13:15:30Z,6.4
2,Afternoon Run,16126906432,2025-10-13T13:13:57Z,12.2
3,Prépa Trail 42km W1S4,16097780019,2025-10-10T15:45:59Z,15.0
4,Prépa Trail 42km W1S3,16087030269,2025-10-09T15:40:20Z,16.8
5,Prépa Trail 42km W1S2,16060227073,2025-10-07T07:51:20Z,19.6
6,Prepa Trail 42km W1S1,16052064576,2025-10-06T13:13:32Z,4.2
7,Afternoon Run,16042095186,2025-10-05T13:31:57Z,5.8
8,Morning Run,16017710458,2025-10-03T07:40:45Z,6.4
9,Afternoon Run,16009594434,2025-10-02T12:43:55Z,-0.4
10,Prépa 23km trail,15984024772,2025-09-30T08:01:54Z,39.2
11,10km Rouen,15957244593,2025-09-27T19:12:00Z,5.8
12,Fin de carrière...,15683439604,2025-09-03T14:13:07Z,9.0
13,LETSSSSGOOOO,15645599213,2025-08-31T07:00:16Z,11.4
14,"J-6 Trail de Vernon, je suis trop hype",15580688900,2025-08-25T12:56:21Z,8.6
15,First trail ever,15558094920,2025-08-23T11:27:07Z,15.8
16,Afternoon Run,15547562025,2025-08-22T13:56:48Z,10.6
17,Entraînement 10km Rouen,15536836544,2025-08-21T14:28:49Z,4.0
18,Entraînement 10km Rouen,15525806695,2025-08-20T14:48:08Z,11.2
19,Entraînement 10km Rouen,15514449122,2025-08-19T15:03:42Z,7.8
20,Entraînement 10km Rouen,15503090113,2025-08-18T16:17:50Z,12.8
21,Entraînement 10km Rouen,15478552266,2025-08-16T12:32:43Z,143.0
22,Afternoon Run,15456578422,2025-08-14T13:16:55Z,4.4
23,Test max 1km,15445992238,2025-08-13T15:07:33Z,3.2
24,Afternoon Run,15445987298,2025-08-13T14:26:18Z,6.0
25,Entraînement 10km Rouen,15423166571,2025-08-11T16:03:54Z,6.6
26,Entraînement 10km Rouen,15397589034,2025-08-09T10:43:33Z,5.0
27,Entraînement 10km Rouen,15385912981,2025-08-08T09:33:09Z,5.6
28,Entraînement 10km Rouen,15374295773,2025-08-07T09:16:02Z,7.6
29,Entraînement 10km Rouen,15363073239,2025-08-06T10:06:15Z,10.8
30,Entraînement 10km Rouen,15342084372,2025-08-04T13:42:43Z,7.4
31,Entraînement 10km Rouen,15329695967,2025-08-03T11:37:53Z,6.0
32,Entraînement 10km Rouen,15317525853,2025-08-02T10:28:03Z,3.8
33,"Entraînement 10km Rouen
Séance 2:
Course 31min: 5:40",15306203468,2025-08-01T09:04:56Z,6.8
